brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group,brand_raw,model_raw
chevrolet,savanna,Chevrolet Savanna long,147000.0,2020,1,181.0,0,diesel,4.5,1,0,0,0,0,0,chevrolet,Budget,Chevrolet,Savanna
citroën,berlingo,Citroen Berlingo 2nd generation (2008-2019),65000.0,2019,1,100.0,0,diesel,1.6,1,0,1,1,0,0,citroen,Other,Citroen,Berlingo
chevrolet,spark,Chevrolet Spark,42000.0,2017,2,98.0,0,electric,1.4,1,0,1,0,0,0,chevrolet,Budget,Chevrolet,Spark
volkswagen,tiguan,Volkswagen Tiguan,200000.0,2022,1,190.0,1,petrol,2.0,0,0,1,0,1,1,volkswagen,Other,Volkswagen,Tiguan
subaru,forester,Subaru Forester,42000.0,2011,3,150.0,1,petrol,2.0,1,0,0,0,0,0,subaru,Other,Subaru,Forester
audi,q7,Audi Q7,216000.0,2018,2,374.0,1,hybrid,3.0,1,0,0,1,0,0,audi,Luxury,Audi,Q7
toyota,land cruiser,Toyota Land Cruiser short,168000.0,2017,5,177.0,1,diesel,2.8,0,0,0,0,0,0,toyota,Budget,Toyota,Land Cruiser
toyota,land cruiser,Toyota Land Cruiser long,123000.0,2008,1,173.0,1,diesel,3.0,1,0,0,0,0,0,toyota,Budget,Toyota,Land Cruiser
alfa romeo,stelvio,Alfa Romeo Stelvio,140000.0,2018,3,200.0,1,petrol,2.0,1,1,1,0,0,0,alfa romeo,Other,Alfa Romeo,Stelvio
mitsubishi,eclipse cross,Mitsubishi Eclipse Cross,88000.0,2019,2,163.0,0,petrol,1.5,1,1,1,0,0,0,mitsubishi,Other,Mitsubishi,Eclipse Cross
subaru,forester,Subaru Forester,45000.0,2012,3,150.0,1,petrol,2.0,1,0,0,0,0,0,subaru,Other,Subaru,Forester
opel,insignia,Opel Insignia,18000.0,2012,3,220.0,0,petrol,2.0,1,0,0,0,0,0,opel,Other,Opel,Insignia
peugeot,3008,Peugeot 3008,98000.0,2019,1,130.0,0,diesel,1.5,0,1,1,1,0,0,peugeot,Other,Peugeot,3008
hyundai,tucson,Hyundai Tucson,122900.0,2021,2,180.0,0,petrol,1.6,1,1,1,0,0,0,hyundai,Budget,Hyundai,Tucson
hyundai,tucson,Hyundai Tucson,105000.0,2020,1,177.0,0,petrol,1.6,0,1,1,0,1,1,hyundai,Budget,Hyundai,Tucson
mercedes-benz,gle,Mercedes GLE,209900.0,2017,2,333.0,1,hybrid,3.0,0,1,0,1,0,0,mercedes,Luxury,Mercedes,GLE
hyundai,unknown,Hyundai and New,94000.0,2022,1,123.0,0,petrol,1.6,1,1,1,0,0,0,hyundai,Budget,Hyundai,Unknown
chevrolet,trailblazer,Chevrolet Trail Blazer,108000.0,2021,1,155.0,1,electric,1.3,1,1,1,0,0,0,chevrolet,Budget,Chevrolet,Trail Blazer
peugeot,3008,Peugeot 3008,104262.0,2017,1,165.0,0,petrol,1.6,0,1,1,1,0,0,peugeot,Other,Peugeot,3008
mazda,6,Mazda 6,152000.0,2022,1,195.0,0,petrol,2.5,0,1,1,0,1,1,mazda,Other,Mazda,6
bmw,x6,BMW X6,13000.0,2018,3,381.0,1,diesel,3.0,0,1,1,0,1,1,bmw,Luxury,BMW,X6
peugeot,5008,Peugeot 5008,99000.0,2019,2,180.0,0,petrol,1.6,0,0,1,1,1,1,peugeot,Other,Peugeot,5008
skoda,octavia,Skoda Octavia,87000.0,2020,1,150.0,0,petrol,1.5,1,0,0,0,0,0,skoda,Budget,Skoda,Octavia
saic,marvel r,If. G. / MG Marvel R,199888.0,2024,1,180.0,0,electric,,0,0,1,1,0,0,saic,Other,SAIC,Marvel R
renault,grand scenic,Renault Grand Scenic,57000.0,2020,1,140.0,0,petrol,1.3,1,1,1,0,0,0,renault,Budget,Renault,Grand Scenic
toyota,yaris,Toyota Yaris,39900.0,2014,3,99.0,0,petrol,1.3,1,0,0,1,0,0,toyota,Budget,Toyota,Yaris
renault,megane estate/ grand tour,Renault Megane Estate/ Grand Tour,71000.0,2021,1,116.0,0,diesel,1.5,1,0,1,0,0,0,renault,Budget,Renault,Megane Estate/ Grand Tour
toyota,corolla hybrid,Toyota Corolla Hybrid,124000.0,2021,1,98.0,0,petrol,1.8,1,0,0,1,0,0,toyota,Budget,Toyota,Corolla Hybrid
mitsubishi,asx,Mitsubishi ASX,92000.0,2022,1,150.0,0,petrol,2.0,0,1,1,1,0,0,mitsubishi,Other,Mitsubishi,ASX
skoda,citigo,Skoda Citigo / Citigo,31900.0,2018,3,60.0,0,petrol,1.0,0,1,1,1,0,0,skoda,Budget,Skoda,Citigo
skoda,octavia,Skoda Octavia,83000.0,2019,1,150.0,0,petrol,1.5,1,0,0,0,0,0,skoda,Budget,Skoda,Octavia
suzuki,sx4,Suzuki SX4 crossover,29200.0,2014,2,118.0,0,petrol,1.6,1,0,0,0,0,0,suzuki,Budget,Suzuki,SX4 crossover
hyundai,i20,Hyundai i20,14375.0,2010,2,126.0,0,petrol,1.6,1,1,0,0,0,0,hyundai,Budget,Hyundai,i20
mercedes-benz,ml,Mercedes ML Class,89000.0,2011,3,272.0,1,petrol,3.5,1,1,0,0,0,0,mercedes,Luxury,Mercedes,ML Class
mazda,cx-5,Mazda CX-5,120000.0,2019,1,165.0,0,petrol,2.0,0,1,1,0,1,1,mazda,Other,Mazda,CX-5
kia,ceed,Kia CEED / CEED,26000.0,2016,2,136.0,0,diesel,1.6,1,0,1,1,0,0,kia,Budget,Kia,CEED
suzuki,vitara,Suzuki Vitra,17000.0,2021,1,129.0,0,hybrid,1.4,1,0,0,0,0,0,suzuki,Budget,Suzuki,Vitra
mercedes-benz,c-class,Mercedes C-Class,232000.0,2020,1,211.0,0,hybrid,2.0,0,1,0,1,0,0,mercedes,Luxury,Mercedes,C-Class
hyundai,i30,Hyundai i30,28500.0,2013,2,135.0,0,petrol,1.6,1,1,0,0,0,0,hyundai,Budget,Hyundai,i30
nissan,qashqai,Nissan Qashqai,94000.0,2020,2,115.0,0,diesel,1.5,0,1,1,1,0,0,nissan,Budget,Nissan,Qashqai
chevrolet,captiva,Chevrolet Captiva,33000.0,2014,3,167.0,1,electric,2.4,1,1,0,0,0,0,chevrolet,Budget,Chevrolet,Captiva
peugeot,3008,Peugeot 3008,105000.0,2020,1,130.0,0,petrol,1.2,0,1,0,1,1,1,peugeot,Other,Peugeot,3008
skoda,kodiaq,Skoda Kodiaq,115000.0,2019,2,150.0,0,petrol,1.5,0,1,1,0,1,1,skoda,Budget,Skoda,Kodiaq
peugeot,3008,Peugeot 3008,79000.0,2018,1,120.0,0,diesel,1.6,0,1,1,1,0,0,peugeot,Other,Peugeot,3008
nissan,qashqai,Nissan Qashqai,52375.0,2017,2,115.0,0,petrol,1.2,0,1,1,1,0,0,nissan,Budget,Nissan,Qashqai
jeep,grand cherokee,Jeep / Jeep Grand Cherokee,202000.0,2021,1,286.0,1,petrol,3.6,1,1,0,0,0,0,jeep,Other,Jeep,Grand Cherokee
subaru,impreza,Subaru Impreza Turbo,80000.0,2005,8,225.0,1,petrol,2.0,1,1,0,0,0,0,subaru,Other,Subaru,Impreza Turbo
alfa romeo,giulietta,Alfa Romeo Giulietta,82000.0,2017,2,240.0,0,petrol,1.7,0,1,1,1,0,0,alfa romeo,Other,Alfa Romeo,Giulietta
cadillac,xt4,Cadillac XT4,194000.0,2022,2,,0,petrol,2.0,0,0,1,0,1,1,cadillac,Luxury,Cadillac,XT4
hyundai,tucson,Hyundai Tucson,103000.0,2021,1,156.0,0,petrol,2.0,1,1,1,0,0,0,hyundai,Budget,Hyundai,Tucson
renault,megane grand coupe,Renault Megane Grand Coupe,65000.0,2020,1,116.0,0,diesel,1.5,0,1,1,1,0,0,renault,Budget,Renault,Megane Grand Coupe
seat,arona,Seat Arona,76800.0,2021,1,110.0,0,petrol,1.0,0,1,1,0,1,1,seat,Budget,Seat,Arona
audi,q2,Audi Q2,85000.0,2017,1,150.0,0,petrol,1.4,0,1,1,0,1,1,audi,Luxury,Audi,Q2
kia,ceed,Kia CEED / CEED,59900.0,2020,1,140.0,0,petrol,1.4,0,1,1,1,0,0,kia,Budget,Kia,CEED
skoda,scala,Skoda Scala,71000.0,2020,1,115.0,0,petrol,1.0,1,0,0,0,0,0,skoda,Budget,Skoda,Scala
toyota,hilux,Toyota Hilux 2X4,161000.0,2021,1,150.0,0,diesel,2.4,1,1,1,0,0,0,toyota,Budget,Toyota,Hilux
renault,grand scenic,Renault Grand Scenic,79000.0,2020,1,140.0,0,petrol,1.3,1,1,1,0,0,0,renault,Budget,Renault,Grand Scenic
hyundai,santa fe,Hyundai Santa Fe,59900.0,2013,2,192.0,1,petrol,2.4,1,1,0,0,0,0,hyundai,Budget,Hyundai,Santa Fe
audi,q2,Audi Q2,90000.0,2018,3,,0,petrol,1.0,0,1,1,0,1,1,audi,Luxury,Audi,Q2
kia,soul,Kia Soul,6000.0,2013,3,140.0,0,petrol,1.6,1,1,0,0,0,0,kia,Budget,Kia,Soul
tesla,model 3,Tesla Model 3,183000.0,2021,1,498.0,1,electric,,1,0,0,1,0,0,tesla,Luxury,Tesla,Model 3
jeep,grand cherokee,Jeep / Jeep Grand Cherokee,180000.0,2019,2,286.0,1,petrol,3.6,1,1,1,0,0,0,jeep,Other,Jeep,Grand Cherokee
